lead_time,arrival_date_month,arrival_date_day_of_month,stays_in_week_nights,adults,meal,country,reserved_room_type,total_of_special_requests,adr,,,
219,March,2,5,2,HB,CN,A,0,52,,,
38,August,14,2,2,HB,ESP,A,1,223,,lead_time,מספר הימים שחלפו בין תאריך ההזמנה לבין תאריך ההגעה.
3,August,1,5,2,BB,ESP,A,2,188.29,,arrival_date_month,חודש ההגעה 
123,February,27,1,2,FB,ESP,A,0,64,,arrival_date_day_of_month,יום ההגעה בחודש הרלוונטי
123,February,27,1,2,FB,ESP,A,0,64,,stays_in_week_nights,מספר לילות השבוע (שני עד שישי) שהאורח שהה או הזמין לשהות במלון 
44,October,1,5,2,HB,GBR,A,1,69.93,,adults,מספר המבוגרים בחדר
78,October,1,5,2,BB,GBR,A,0,43.93,,meal,BB – Bed & Breakfast
108,December,3,5,2,HB,GBR,A,0,49.5,,country,ארץ מוצא
92,December,31,5,2,HB,GBR,A,2,59.18,,reserved_room_type,קוד סוג החדר. קוד מוצג במקום ייעוד מטעמי אנונימיות
92,December,31,5,2,HB,GBR,A,2,59.18,,total_of_special_requests,מספר הבקשות המיוחדות של הלקוח (למשל מיטת טווין או קומה גבוהה)
172,January,12,20,2,BB,GBR,A,1,25.92,,adr,תעריף יומי ממוצע (מחושב על ידי חלוקת סכום כל עסקאות הלינה במספר הכולל של לילות השהייה) (משתנה מוסבר)
115,October,25,4,2,BB,IRL,A,2,36,,,
80,October,18,5,2,BB,IRL,A,0,81.34,,,
55,July,23,1,1,BB,PRT,A,0,112,,,
19,July,23,3,2,BB,PRT,A,0,153,,,
110,July,11,5,2,BB,PRT,A,1,113.9,,,
2,July,12,0,2,BB,PRT,A,2,98,,,
2,August,26,1,2,BB,PRT,A,1,96.3,,,
124,August,1,4,2,BB,PRT,A,1,120.6,,,
159,September,22,5,2,BB,PRT,A,2,74,,,
155,October,31,1,2,BB,PRT,A,0,36,,,
155,October,31,1,2,BB,PRT,A,0,42,,,
1,October,24,1,2,BB,PRT,A,3,67,,,
119,October,19,0,2,BB,PRT,A,1,40.5,,,
119,October,19,0,2,BB,PRT,A,1,40.5,,,
164,November,28,1,2,BB,PRT,A,0,29.16,,,
36,November,28,4,2,BB,PRT,A,0,32.1,,,
88,November,28,4,2,BB,PRT,A,0,32.4,,,
82,November,29,4,2,BB,PRT,A,1,32.4,,,
133,November,30,1,2,BB,PRT,A,1,29.16,,,
93,November,30,5,2,BB,PRT,A,2,32.4,,,
91,November,30,7,2,HB,PRT,A,1,66,,,
0,December,25,1,2,BB,PRT,A,0,55,,,
5,January,27,1,1,BB,PRT,A,0,39,,,
113,January,2,1,2,HB,PRT,A,0,72,,,
113,January,2,1,2,HB,PRT,A,0,72,,,
113,January,2,1,2,HB,PRT,A,0,72,,,
113,January,2,1,2,HB,PRT,A,0,72,,,
113,January,2,1,2,HB,PRT,A,0,72,,,
113,January,2,1,2,HB,PRT,A,0,72,,,
42,February,27,2,2,BB,PRT,A,3,48,,,
120,February,27,6,1,BB,PRT,A,0,31.59,,,
119,February,27,6,1,BB,PRT,A,0,35.1,,,
